PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,PriceperSQFT,HOA
Single Family Residential,1420 E 67th St,Tacoma,WA,98404,424900,4,2,Tacoma,1402,6511,2010,1,303,0
Single Family Residential,2223 63rd Ave NE,Tacoma,WA,98422,540000,3,2.5,Browns Point,1871,6113,1999,1,289,0
Townhouse,624 S 23rd St,Tacoma,WA,98405,425000,3,2.5,Central Tacoma,1362,970,2011,2,312,1
Single Family Residential,6204 Hawthorne Ter NE,Tacoma,WA,98422,799000,3,2,Dash Point,2000,5500,1978,3,400,0
Single Family Residential,6318 S I St,Tacoma,WA,98408,389000,3,1.5,Tacoma,1728,6000,1940,3,225,0
Single Family Residential,214 E 61st St,Tacoma,WA,98404,345000,2,1,Se Tacoma,825,6000,1963,3,418,0
Multi-Family (2-4 Unit),304 152nd St E,Tacoma,WA,98445,655000,6,5,Spanaway,2782,12450,2005,3,235,0
Single Family Residential,6503 S J St,Tacoma,WA,98408,564950,4,2.5,South Tacoma,1947,5507,2021,3,290,0
Single Family Residential,4311 N 33rd St,Tacoma,WA,98407,639950,4,2,Proctor,2304,6000,1968,3,278,0
Single Family Residential,6838 S Wapato St,Tacoma,WA,98409,419000,4,1,South Tacoma,1260,6000,1946,3,333,0
Single Family Residential,4816 E G St,Tacoma,WA,98404,419000,4,1,East Tacoma,1328,6438,1943,3,316,0
Single Family Residential,1114 S Tyler St,Tacoma,WA,98406,425000,3,2,Tacoma,2138,5450,1949,4,199,0
Single Family Residential,7016 S D St,Tacoma,WA,98408,325000,2,1,South Tacoma,780,6500,1952,4,417,0
Single Family Residential,3206 N Bristol St,Tacoma,WA,98407,625000,3,2.5,North Tacoma,2094,7480,1973,4,298,0
Single Family Residential,824 127th Street Ct E,Tacoma,WA,98445,419950,3,2,Parkland,1129,6325,1998,4,372,0
Single Family Residential,2102 147th Street Ct E,Tacoma,WA,98445,450000,3,2.5,Tacoma,1466,5880,1988,4,307,0
Single Family Residential,4520 S 10th St,Tacoma,WA,98405,399950,3,1,Delong Park,969,6360,1954,4,413,0
Single Family Residential,12013 Park Ave S,Tacoma,WA,98444,558000,4,3.5,Parkland,2532,10000,1933,4,220,0
Condo/Co-op,2509 Cedar #305,Tacoma,WA,98405,522000,2,2,Central Tacoma,1700,,1981,4,307,1
Single Family Residential,7229 E G St,Tacoma,WA,98404,350000,3,2.5,South Tacoma,1530,3000,2005,4,229,0
Single Family Residential,4811 128th St E,Tacoma,WA,98446,799900,4,2,Summit,3146,84070,2006,4,254,0
Single Family Residential,913 S 93rd St,Tacoma,WA,98444,450000,3,2.5,Tacoma,1527,5013,1995,4,295,0
Condo/Co-op,3201 Pacific Ave #403,Tacoma,WA,98418,289950,1,1,South Tacoma,911,,2002,4,318,1
Single Family Residential,4615 N 19th St,Tacoma,WA,98406,545000,3,2.5,North Tacoma,1544,9000,1910,4,353,0
